x spline sin
0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00
1.000000000000000e-02 9.996956514259355e-03 9.999833334166664e-03
2.000000000000000e-02 1.999308788612013e-02 1.999866669333308e-02
3.000000000000001e-02 2.998756897318375e-02 2.999550020249567e-02
4.000000000000000e-02 3.997957463305164e-02 3.998933418663416e-02
5.000000000000000e-02 4.996827972332521e-02 4.997916927067833e-02
6.000000000000001e-02 5.995285910160590e-02 5.996400647944461e-02
7.000000000000001e-02 6.993248762549512e-02 6.994284733753277e-02
8.000000000000000e-02 7.990634015259428e-02 7.991469396917270e-02
9.000000000000000e-02 8.987359154050481e-02 8.987854919801104e-02
1.000000000000000e-01 9.983341664682817e-02 9.983341664682815e-02
1.000000000000000e-01 9.983341664682815e-02 9.983341664682815e-02
1.100000000000000e-01 1.097848179690657e-01 1.097783008371748e-01
1.200000000000000e-01 1.197261085643188e-01 1.197122072889194e-01
1.300000000000000e-01 1.296554291295887e-01 1.296341426196949e-01
1.400000000000000e-01 1.395709203618768e-01 1.395431146442365e-01
1.500000000000000e-01 1.494707229581844e-01 1.494381324735992e-01
1.600000000000000e-01 1.593529776155129e-01 1.593182066142460e-01
1.700000000000000e-01 1.692158250308635e-01 1.691823490669960e-01
1.800000000000000e-01 1.790574059012375e-01 1.790295734258242e-01
1.900000000000000e-01 1.888758609236363e-01 1.888588949765006e-01
2.000000000000000e-01 1.986693307950612e-01 1.986693307950612e-01
2.000000000000000e-01 1.986693307950612e-01 1.986693307950612e-01
2.100000000000000e-01 2.085518175916770e-01 2.084598998460996e-01
2.200000000000000e-01 2.184028175605560e-01 2.182296230808693e-01
2.300000000000000e-01 2.282176883279337e-01 2.279775235351884e-01
2.400000000000000e-01 2.379917875200458e-01 2.377026264271346e-01
2.500000000000000e-01 2.477204727631280e-01 2.474039592545229e-01
2.600000000000000e-01 2.573991016834161e-01 2.570805518921551e-01
2.700000000000000e-01 2.670230319071455e-01 2.667314366888311e-01
