x spline sin
0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00
2.000000000000000e-03 1.999970770902317e-03 1.999998666666933e-03
4.000000000000000e-03 3.999935232618633e-03 3.999989333341867e-03
6.000000000000000e-03 5.999887075962947e-03 5.999964000064800e-03
8.000000000000000e-03 7.999819991749263e-03 7.999914666939733e-03
1.000000000000000e-02 9.999727670791573e-03 9.999833334166664e-03
1.200000000000000e-02 1.199960380390388e-02 1.199971200207359e-02
1.400000000000000e-02 1.399944208190019e-02 1.399954267114851e-02
1.600000000000000e-02 1.599923619559449e-02 1.599931734207142e-02
1.800000000000000e-02 1.799897983580079e-02 1.799902801574628e-02
2.000000000000000e-02 1.999866669333308e-02 1.999866669333308e-02
2.000000000000000e-02 1.999866669333308e-02 1.999866669333308e-02
2.200000000000000e-02 2.199828876899133e-02 2.199822537627977e-02
2.400000000000000e-02 2.399783130351940e-02 2.399769606635429e-02
2.600000000000000e-02 2.599727784764708e-02 2.599707076567654e-02
2.800000000000000e-02 2.799661195210418e-02 2.799634147675039e-02
3.000000000000000e-02 2.999581716762052e-02 2.999550020249566e-02
3.200000000000000e-02 3.199487704492591e-02 3.199453894628012e-02
3.400000000000000e-02 3.399377513475017e-02 3.399344971195145e-02
3.600000000000000e-02 3.599249498782308e-02 3.599222450386926e-02
3.800000000000000e-02 3.799102015487447e-02 3.799085532693703e-02
4.000000000000000e-02 3.998933418663416e-02 3.998933418663416e-02
4.000000000000000e-02 3.998933418663416e-02 3.998933418663416e-02
4.200000000000000e-02 4.198835128885049e-02 4.198765308904786e-02
4.400000000000000e-02 4.398710894332875e-02 4.398580404090519e-02
4.600000000000000e-02 4.598557528689278e-02 4.598377904960500e-02
4.800000000000000e-02 4.798371845636642e-02 4.798157012324993e-02
5.000000000000000e-02 4.998150658857348e-02 4.997916927067833e-02
5.200000000000000e-02 5.197890782033783e-02 5.197656850149630e-02
5.400000000000001e-02 5.397589028848328e-02 5.397375982610956e-02
5.600000000000000e-02 5.597242212983366e-02 5.597073525575547e-02
5.800000000000000e-02 5.796847148121282e-02 5.796748680253499e-02
6.000000000000000e-02 5.996400647944460e-02 5.996400647944460e-02
6.000000000000000e-02 5.996400647944460e-02 5.996400647944460e-02
6.200000000000000e-02 6.196245704806834e-02 6.196028630040824e-02
6.400000000000000e-02 6.396030540969004e-02 6.395631828030929e-02
6.600000000000000e-02 6.595749557363124e-02 6.595209443502249e-02
6.800000000000000e-02 6.795397154921343e-02 6.794760678144590e-02
6.999999999999999e-02 6.994967734575813e-02 6.994284733753275e-02
7.199999999999999e-02 7.194455697258689e-02 7.193780812232353e-02
7.400000000000000e-02 7.393855443902120e-02 7.393248115597774e-02
7.600000000000000e-02 7.593161375438259e-02 7.592685845980590e-02
7.800000000000000e-02 7.792367892799257e-02 7.792093205630146e-02
8.000000000000000e-02 7.991469396917270e-02 7.991469396917270e-02
8.000000000000000e-02 7.991469396917270e-02 7.991469396917270e-02
8.200000000000000e-02 8.191299412050389e-02 8.190813622337459e-02
8.400000000000001e-02 8.391010024996440e-02 8.390125084514082e-02
8.600000000000001e-02 8.590592445879194e-02 8.589402986201553e-02
8.799999999999999e-02 8.790037884822420e-02 8.788646530288530e-02
9.000000000000000e-02 8.989337551949891e-02 8.987854919801104e-02
9.200000000000000e-02 9.188482657385373e-02 9.187027357905984e-02
9.400000000000000e-02 9.387464411252637e-02 9.386163047913683e-02
9.600000000000000e-02 9.586274023675452e-02 9.585261193281704e-02
9.800000000000000e-02 9.784902704777589e-02 9.784320997617732e-02
1.000000000000000e-01 9.983341664682815e-02 9.983341664682815e-02
1.000000000000000e-01 9.983341664682815e-02 9.983341664682815e-02
1.020000000000000e-01 1.018323377725734e-01 1.018232239839455e-01
1.040000000000000e-01 1.038291459655724e-01 1.038126240283027e-01
1.060000000000000e-01 1.058237134038103e-01 1.058016088223022e-01
1.080000000000000e-01 1.078159122652723e-01 1.077901704100075e-01
1.100000000000000e-01 1.098056147279435e-01 1.097783008371748e-01
1.120000000000000e-01 1.117926929698092e-01 1.117659921512852e-01
1.140000000000000e-01 1.137770191688545e-01 1.137532364015760e-01
1.160000000000000e-01 1.157584655030645e-01 1.157400256390728e-01
1.180000000000000e-01 1.177369041504244e-01 1.177263519166215e-01
1.200000000000000e-01 1.197122072889194e-01 1.197122072889194e-01
1.200000000000000e-01 1.197122072889194e-01 1.197122072889194e-01
1.220000000000000e-01 1.217128817015853e-01 1.216975838125477e-01
1.240000000000000e-01 1.237101171053003e-01 1.236824735460031e-01
