x analitic dft/fft
0.000000000000000e+00 -0.000000000000000e+00 -1.880440247958859e-15
1.000000000000000e-02 -9.949832494966428e-05 -9.949832495023334e-05
2.000000000000000e-02 -3.959730634233812e-04 -3.959730634254602e-04
3.000000000000000e-02 -8.863629378050187e-04 -8.863629378029134e-04
4.000000000000000e-02 -1.567564589577797e-03 -1.567564589576805e-03
5.000000000000000e-02 -2.436431483408651e-03 -2.436431483408157e-03
6.000000000000000e-02 -3.489772769700133e-03 -3.489772769700764e-03
7.000000000000001e-02 -4.724352103547788e-03 -4.724352103547484e-03
8.000000000000000e-02 -6.136886417914158e-03 -6.136886417913226e-03
9.000000000000000e-02 -7.724044648694664e-03 -7.724044648690254e-03
1.000000000000000e-01 -9.482446409204369e-03 -9.482446409201976e-03
1.100000000000000e-01 -1.140866061145765e-02 -1.140866061145593e-02
1.200000000000000e-01 -1.349920403144384e-02 -1.349920403144118e-02
1.300000000000000e-01 -1.575053981541972e-02 -1.575053981541739e-02
1.400000000000000e-01 -1.815907592404387e-02 -1.815907592404283e-02
1.500000000000000e-01 -2.072116351096630e-02 -2.072116351096693e-02
1.600000000000000e-01 -2.343309523225813e-02 -2.343309523225465e-02
1.700000000000000e-01 -2.629110348281973e-02 -2.629110348281855e-02
1.800000000000000e-01 -2.929135855563852e-02 -2.929135855563730e-02
1.900000000000000e-01 -3.242996671947894e-02 -3.242996671947530e-02
2.000000000000000e-01 -3.570296821027357e-02 -3.570296821027416e-02
2.100000000000000e-01 -3.910633513114549e-02 -3.910633513114474e-02
2.200000000000000e-01 -4.263596925562254e-02 -4.263596925562224e-02
2.300000000000000e-01 -4.628769972820358e-02 -4.628769972820572e-02
2.400000000000000e-01 -5.005728065600108e-02 -5.005728065599954e-02
2.500000000000000e-01 -5.394038858470892e-02 -5.394038858470445e-02
2.600000000000000e-01 -5.793261985162652e-02 -5.793261985162955e-02
2.700000000000000e-01 -6.202948780790492e-02 -6.202948780790746e-02
2.800000000000000e-01 -6.622641990156247e-02 -6.622641990155925e-02
2.900000000000000e-01 -7.051875461214115e-02 -7.051875461214080e-02
3.000000000000000e-01 -7.490173822713379e-02 -7.490173822713589e-02
3.100000000000000e-01 -7.937052144949895e-02 -7.937052144950006e-02
3.200000000000000e-01 -8.392015582468786e-02 -8.392015582469167e-02
3.300000000000000e-01 -8.854558997462442e-02 -8.854558997462626e-02
3.400000000000000e-01 -9.324166562499780e-02 -9.324166562499989e-02
3.500000000000000e-01 -9.800311341103332e-02 -9.800311341103569e-02
3.600000000000000e-01 -1.028245484455878e-01 -1.028245484455889e-01
3.700000000000000e-01 -1.077004656319578e-01 -1.077004656319646e-01
3.800000000000000e-01 -1.126252347021708e-01 -1.126252347021746e-01
3.900000000000000e-01 -1.175930949597362e-01 -1.175930949597386e-01
4.000000000000000e-01 -1.225981497038378e-01 -1.225981497038375e-01
4.100000000000000e-01 -1.276343603097258e-01 -1.276343603097345e-01
4.200000000000000e-01 -1.326955399375913e-01 -1.326955399375944e-01
4.300000000000000e-01 -1.377753468394330e-01 -1.377753468394331e-01
4.400000000000000e-01 -1.428672772303250e-01 -1.428672772303296e-01
4.500000000000000e-01 -1.479646576870161e-01 -1.479646576870189e-01
4.600000000000000e-01 -1.530606370328762e-01 -1.530606370328824e-01
4.700000000000000e-01 -1.581481776638000e-01 -1.581481776638027e-01
4.800000000000000e-01 -1.632200462647033e-01 -1.632200462647020e-01
4.900000000000000e-01 -1.682688038606150e-01 -1.682688038606198e-01
5.000000000000000e-01 -1.732867951399863e-01 -1.732867951399820e-01
5.100000000000000e-01 -1.782661369805784e-01 -1.782661369805777e-01
5.200000000000000e-01 -1.831987061000180e-01 -1.831987061000154e-01
5.300000000000000e-01 -1.880761257436580e-01 -1.880761257436607e-01
5.400000000000000e-01 -1.928897513115507e-01 -1.928897513115550e-01
5.500000000000000e-01 -1.976306548138985e-01 -1.976306548139036e-01
5.600000000000001e-01 -2.022896080300062e-01 -2.022896080300076e-01
5.700000000000000e-01 -2.068570642291890e-01 -2.068570642291915e-01
5.800000000000000e-01 -2.113231382928705e-01 -2.113231382928721e-01
5.900000000000000e-01 -2.156775850547472e-01 -2.156775850547482e-01
6.000000000000000e-01 -2.199097756497972e-01 -2.199097756498034e-01
6.100000000000000e-01 -2.240086716323240e-01 -2.240086716323237e-01
6.200000000000000e-01 -2.279627965872578e-01 -2.279627965872630e-01
6.300000000000000e-01 -2.317602049164554e-01 -2.317602049164549e-01
6.400000000000000e-01 -2.353884474313685e-01 -2.353884474313680e-01
6.500000000000000e-01 -2.388345333234492e-01 -2.388345333234529e-01
6.600000000000000e-01 -2.420848880118611e-01 -2.420848880118625e-01
6.700000000000000e-01 -2.451253062817283e-01 -2.451253062817288e-01
6.800000000000000e-01 -2.479409000217882e-01 -2.479409000217915e-01
6.899999999999999e-01 -2.505160397434799e-01 -2.505160397434795e-01
7.000000000000000e-01 -2.528342889084466e-01 -2.528342889084442e-01
7.100000000000000e-01 -2.548783299007330e-01 -2.548783299007311e-01
7.200000000000000e-01 -2.566298802438781e-01 -2.566298802438771e-01
7.300000000000000e-01 -2.580695973687995e-01 -2.580695973687962e-01
7.400000000000000e-01 -2.591769698687756e-01 -2.591769698687730e-01
7.500000000000000e-01 -2.599301927099795e-01 -2.599301927099786e-01
7.600000000000000e-01 -2.603060232687626e-01 -2.603060232687566e-01
7.700000000000000e-01 -2.602796142974386e-01 -2.602796142974362e-01
7.800000000000000e-01 -2.598243189192695e-01 -2.598243189192677e-01
7.900000000000000e-01 -2.589114614371085e-01 -2.589114614371080e-01
8.000000000000000e-01 -2.575100659894560e-01 -2.575100659894518e-01
8.100000000000001e-01 -2.555865327298520e-01 -2.555865327298472e-01
8.200000000000000e-01 -2.531042479863684e-01 -2.531042479863622e-01
8.300000000000000e-01 -2.500231103965876e-01 -2.500231103965874e-01
8.400000000000000e-01 -2.462989487277729e-01 -2.462989487277683e-01
8.500000000000000e-01 -2.418827980729499e-01 -2.418827980729475e-01
8.600000000000000e-01 -2.367199879072891e-01 -2.367199879072893e-01
8.700000000000000e-01 -2.307489757063533e-01 -2.307489757063536e-01
8.800000000000000e-01 -2.238998294227296e-01 -2.238998294227235e-01
8.900000000000000e-01 -2.160922140012737e-01 -2.160922140012735e-01
9.000000000000000e-01 -2.072326583694641e-01 -2.072326583694629e-01
9.100000000000000e-01 -1.972107453485883e-01 -1.972107453485896e-01
9.200000000000000e-01 -1.858936282210876e-01 -1.858936282210790e-01
9.300000000000000e-01 -1.731178284043238e-01 -1.731178284043183e-01
9.399999999999999e-01 -1.586763644252661e-01 -1.586763644252665e-01
9.500000000000000e-01 -1.422972829938146e-01 -1.422972829938158e-01
9.600000000000000e-01 -1.236048316749390e-01 -1.236048316749432e-01
9.700000000000000e-01 -1.020408348120115e-01 -1.020408348120023e-01
9.800000000000000e-01 -7.667565090639171e-02 -7.667565090638055e-02
9.900000000000000e-01 -4.559118484128214e-02 -4.559118484128254e-02
