x analitic dft/fft
0.000000000000000e+00 -0.000000000000000e+00 0.000000000000000e+00
1.000000000000000e-01 -9.482446409204369e-03 -9.482446409204356e-03
2.000000000000000e-01 -3.570296821027357e-02 -3.570296821027359e-02
3.000000000000000e-01 -7.490173822713379e-02 -7.490173822713381e-02
4.000000000000000e-01 -1.225981497038378e-01 -1.225981497038378e-01
5.000000000000000e-01 -1.732867951399863e-01 -1.732867951399863e-01
6.000000000000000e-01 -2.199097756497972e-01 -2.199097756497972e-01
7.000000000000000e-01 -2.528342889084466e-01 -2.528342889084465e-01
8.000000000000000e-01 -2.575100659894560e-01 -2.575100659894560e-01
9.000000000000000e-01 -2.072326583694641e-01 -2.072326583694640e-01
