x analitic dft/fft
0.000000000000000e+00 -0.000000000000000e+00 -2.952880995277241e-13
1.000000000000000e-04 -9.999499983332502e-09 -9.999871593974197e-09
2.000000000000000e-04 -3.999599973330666e-08 -3.999625093273340e-08
3.000000000000000e-04 -8.998649864979744e-08 -8.998679605284887e-08
4.000000000000000e-04 -1.599679957324798e-07 -1.599681796055075e-07
5.000000000000000e-04 -2.499374895807285e-07 -2.499379623335796e-07
5.999999999999999e-04 -3.598919783935176e-07 -3.598923888938066e-07
7.000000000000000e-04 -4.898284599693216e-07 -4.898287177639016e-07
8.000000000000000e-04 -6.397439317060136e-07 -6.397439029429131e-07
9.000000000000000e-04 -8.096353906007659e-07 -8.096358243593615e-07
1.000000000000000e-03 -9.994998332499502e-07 -9.994998676141065e-07
1.100000000000000e-03 -1.209334255849036e-06 -1.209334274845930e-06
1.200000000000000e-03 -1.439135654192490e-06 -1.439135655676577e-06
1.300000000000000e-03 -1.688901023673681e-06 -1.688901441563445e-06
1.400000000000000e-03 -1.958627359284770e-06 -1.958627765922399e-06
1.500000000000000e-03 -2.248311655616618e-06 -2.248311933898683e-06
1.600000000000000e-03 -2.557950906858681e-06 -2.557951432759220e-06
1.700000000000000e-03 -2.887542106798910e-06 -2.887542508912821e-06
1.800000000000000e-03 -3.237082248823657e-06 -3.237082677669950e-06
1.900000000000000e-03 -3.606568325917562e-06 -3.606568705068897e-06
2.000000000000000e-03 -3.995997330663463e-06 -3.995997907249582e-06
2.100000000000000e-03 -4.405366255242288e-06 -4.405366816964684e-06
2.200000000000000e-03 -4.834672091432964e-06 -4.834672689527780e-06
2.300000000000000e-03 -5.283911830612301e-06 -5.283911907839195e-06
2.400000000000000e-03 -5.753082463754908e-06 -5.753082655029357e-06
2.500000000000000e-03 -6.242180981433086e-06 -6.242181428261356e-06
2.600000000000000e-03 -6.751204373816713e-06 -6.751204752217937e-06
2.700000000000000e-03 -7.280149630673172e-06 -7.280149653478979e-06
2.800000000000000e-03 -7.829013741367220e-06 -7.829013946948626e-06
2.900000000000000e-03 -8.397793694860909e-06 -8.397794232131717e-06
3.000000000000000e-03 -8.986486479713477e-06 -8.986487053767866e-06
3.100000000000000e-03 -9.595089084081239e-06 -9.595088858893597e-06
3.200000000000000e-03 -1.022359849571751e-05 -1.022359866840322e-05
3.300000000000000e-03 -1.087201170197246e-05 -1.087201187425363e-05
3.400000000000000e-03 -1.154032568979306e-05 -1.154032592599538e-05
3.500000000000000e-03 -1.222853744572298e-05 -1.222853770490792e-05
3.600000000000000e-03 -1.293664395590242e-05 -1.293664425793331e-05
3.700000000000000e-03 -1.366464220606810e-05 -1.366464224976383e-05
3.800000000000000e-03 -1.441252918155310e-05 -1.441252943772814e-05
3.900000000000000e-03 -1.518030186728677e-05 -1.518030230472298e-05
4.000000000000000e-03 -1.596795724779465e-05 -1.596795766364151e-05
4.100000000000000e-03 -1.677549230719835e-05 -1.677549224531061e-05
4.200000000000000e-03 -1.760290402921541e-05 -1.760290436744749e-05
4.300000000000000e-03 -1.845018939715932e-05 -1.845018960668771e-05
4.400000000000000e-03 -1.931734539393927e-05 -1.931734613694683e-05
4.500000000000000e-03 -2.020436900206012e-05 -2.020436946756701e-05
4.600000000000000e-03 -2.111125720362234e-05 -2.111125745041936e-05
4.700000000000000e-03 -2.203800698032184e-05 -2.203800709120809e-05
4.800000000000000e-03 -2.298461531344986e-05 -2.298461557906362e-05
4.900000000000000e-03 -2.395107918389296e-05 -2.395107942492966e-05
5.000000000000000e-03 -2.493739557213280e-05 -2.493739589353589e-05
5.100000000000000e-03 -2.594356145824614e-05 -2.594356129320338e-05
5.200000000000000e-03 -2.696957382190467e-05 -2.696957417007775e-05
5.300000000000000e-03 -2.801542964237494e-05 -2.801542986194047e-05
5.400000000000000e-03 -2.908112589851826e-05 -2.908112593865558e-05
5.500000000000000e-03 -3.016665956879056e-05 -3.016665971817059e-05
5.600000000000000e-03 -3.127202763124235e-05 -3.127202756798841e-05
5.700000000000000e-03 -3.239722706351859e-05 -3.239722751124247e-05
5.800000000000000e-03 -3.354225484285853e-05 -3.354225486454712e-05
5.900000000000000e-03 -3.470710794609572e-05 -3.470710824833578e-05
6.000000000000000e-03 -3.589178334965782e-05 -3.589178366891072e-05
6.100000000000000e-03 -3.709627802956654e-05 -3.709627826632006e-05
6.200000000000000e-03 -3.832058896143750e-05 -3.832058917456471e-05
6.300000000000000e-03 -3.956471312048018e-05 -3.956471340627044e-05
6.400000000000000e-03 -4.082864748149778e-05 -4.082864782808948e-05
6.500000000000000e-03 -4.211238901888712e-05 -4.211238939097126e-05
6.600000000000000e-03 -4.341593470663855e-05 -4.341593529397225e-05
6.700000000000000e-03 -4.473928151833586e-05 -4.473928193396079e-05
6.800000000000000e-03 -4.608242642715613e-05 -4.608242710344226e-05
6.900000000000000e-03 -4.744536640586969e-05 -4.744536636009170e-05
7.000000000000000e-03 -4.882809842683996e-05 -4.882809893933318e-05
7.100000000000000e-03 -5.023061946202340e-05 -5.023061978661272e-05
7.200000000000000e-03 -5.165292648296932e-05 -5.165292699396348e-05
7.300000000000000e-03 -5.309501646081994e-05 -5.309501677022363e-05
7.400000000000000e-03 -5.455688636631011e-05 -5.455688653048865e-05
7.500000000000000e-03 -5.603853316976728e-05 -5.603853346644941e-05
7.600000000000000e-03 -5.753995384111144e-05 -5.753995405454945e-05
7.700000000000000e-03 -5.906114534985496e-05 -5.906114549130911e-05
7.800000000000000e-03 -6.060210466510249e-05 -6.060210452882298e-05
7.900000000000001e-03 -6.216282875555093e-05 -6.216282882529761e-05
8.000000000000000e-03 -6.374331458948917e-05 -6.374331473571818e-05
8.100000000000000e-03 -6.534355913479814e-05 -6.534355948354872e-05
8.200000000000001e-03 -6.696355935895073e-05 -6.696355955017330e-05
8.300000000000000e-03 -6.860331222901145e-05 -6.860331236790626e-05
8.399999999999999e-03 -7.026281471163663e-05 -7.026281506110343e-05
8.500000000000001e-03 -7.194206377307410e-05 -7.194206398973904e-05
8.600000000000000e-03 -7.364105637916313e-05 -7.364105670079960e-05
8.699999999999999e-03 -7.535978949533447e-05 -7.535979021999761e-05
8.800000000000001e-03 -7.709826008661007e-05 -7.709826072303111e-05
8.900000000000000e-03 -7.885646511760301e-05 -7.885646518809158e-05
8.999999999999999e-03 -8.063440155251749e-05 -8.063440200171620e-05
9.100000000000000e-03 -8.243206635514863e-05 -8.243206672673559e-05
9.200000000000000e-03 -8.424945648888237e-05 -8.424945690607352e-05
9.299999999999999e-03 -8.608656891669549e-05 -8.608656897177158e-05
9.400000000000000e-03 -8.794340060115539e-05 -8.794340105610157e-05
9.500000000000000e-03 -8.981994850441989e-05 -8.981994887537897e-05
9.599999999999999e-03 -9.171620958823740e-05 -9.171620962705393e-05
9.700000000000000e-03 -9.363218081394666e-05 -9.363218093760145e-05
