x analitic dft/fft
0.000000000000000e+00 -0.000000000000000e+00 0.000000000000000e+00
2.000000000000000e-02 -3.959730634233812e-04 -3.959730634233161e-04
4.000000000000000e-02 -1.567564589577797e-03 -1.567564589577825e-03
6.000000000000000e-02 -3.489772769700133e-03 -3.489772769700097e-03
8.000000000000000e-02 -6.136886417914158e-03 -6.136886417914128e-03
1.000000000000000e-01 -9.482446409204369e-03 -9.482446409204301e-03
1.200000000000000e-01 -1.349920403144384e-02 -1.349920403144386e-02
1.400000000000000e-01 -1.815907592404387e-02 -1.815907592404381e-02
1.600000000000000e-01 -2.343309523225813e-02 -2.343309523225809e-02
1.800000000000000e-01 -2.929135855563852e-02 -2.929135855563844e-02
2.000000000000000e-01 -3.570296821027357e-02 -3.570296821027356e-02
2.200000000000000e-01 -4.263596925562254e-02 -4.263596925562252e-02
2.400000000000000e-01 -5.005728065600108e-02 -5.005728065600105e-02
2.600000000000000e-01 -5.793261985162652e-02 -5.793261985162645e-02
2.800000000000000e-01 -6.622641990156247e-02 -6.622641990156249e-02
3.000000000000000e-01 -7.490173822713379e-02 -7.490173822713377e-02
3.200000000000000e-01 -8.392015582468786e-02 -8.392015582468786e-02
3.400000000000000e-01 -9.324166562499780e-02 -9.324166562499782e-02
3.600000000000000e-01 -1.028245484455878e-01 -1.028245484455879e-01
3.800000000000000e-01 -1.126252347021708e-01 -1.126252347021708e-01
4.000000000000000e-01 -1.225981497038378e-01 -1.225981497038378e-01
4.200000000000000e-01 -1.326955399375913e-01 -1.326955399375914e-01
4.400000000000000e-01 -1.428672772303250e-01 -1.428672772303250e-01
4.600000000000000e-01 -1.530606370328762e-01 -1.530606370328763e-01
4.800000000000000e-01 -1.632200462647033e-01 -1.632200462647034e-01
5.000000000000000e-01 -1.732867951399863e-01 -1.732867951399865e-01
5.200000000000000e-01 -1.831987061000180e-01 -1.831987061000181e-01
5.400000000000000e-01 -1.928897513115507e-01 -1.928897513115508e-01
5.600000000000001e-01 -2.022896080300062e-01 -2.022896080300063e-01
5.800000000000000e-01 -2.113231382928705e-01 -2.113231382928707e-01
6.000000000000000e-01 -2.199097756497972e-01 -2.199097756497973e-01
6.200000000000000e-01 -2.279627965872578e-01 -2.279627965872580e-01
6.400000000000000e-01 -2.353884474313685e-01 -2.353884474313686e-01
6.600000000000000e-01 -2.420848880118611e-01 -2.420848880118612e-01
6.800000000000000e-01 -2.479409000217882e-01 -2.479409000217882e-01
7.000000000000000e-01 -2.528342889084466e-01 -2.528342889084467e-01
7.200000000000000e-01 -2.566298802438781e-01 -2.566298802438781e-01
7.400000000000000e-01 -2.591769698687756e-01 -2.591769698687758e-01
7.600000000000000e-01 -2.603060232687626e-01 -2.603060232687625e-01
7.800000000000000e-01 -2.598243189192695e-01 -2.598243189192696e-01
8.000000000000000e-01 -2.575100659894560e-01 -2.575100659894560e-01
8.200000000000000e-01 -2.531042479863684e-01 -2.531042479863685e-01
8.400000000000000e-01 -2.462989487277729e-01 -2.462989487277728e-01
8.600000000000000e-01 -2.367199879072891e-01 -2.367199879072892e-01
8.800000000000000e-01 -2.238998294227296e-01 -2.238998294227296e-01
9.000000000000000e-01 -2.072326583694641e-01 -2.072326583694642e-01
9.200000000000000e-01 -1.858936282210876e-01 -1.858936282210876e-01
9.399999999999999e-01 -1.586763644252661e-01 -1.586763644252662e-01
9.600000000000000e-01 -1.236048316749390e-01 -1.236048316749390e-01
9.800000000000000e-01 -7.667565090639171e-02 -7.667565090639171e-02
