x spline sin
0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00
1.000000000000000e-04 9.999999634647279e-05 9.999999983333334e-05
2.000000000000000e-04 1.999999919042705e-04 1.999999986666667e-04
3.000000000000000e-04 2.999999858847181e-04 2.999999955000000e-04
4.000000000000000e-04 3.999999774991404e-04 3.999999893333334e-04
5.000000000000000e-04 4.999999659588626e-04 4.999999791666669e-04
6.000000000000001e-04 5.999999504752094e-04 5.999999640000007e-04
7.000000000000000e-04 6.999999302595057e-04 6.999999428333347e-04
8.000000000000000e-04 7.999999045230766e-04 7.999999146666695e-04
9.000000000000001e-04 8.999998724772471e-04 8.999998785000050e-04
1.000000000000000e-03 9.999998333333417e-04 9.999998333333417e-04
1.000000000000000e-03 9.999998333333417e-04 9.999998333333417e-04
1.100000000000000e-03 1.099999786091361e-03 1.099999778166680e-03
1.200000000000000e-03 1.199999728906007e-03 1.199999712000021e-03
1.300000000000000e-03 1.299999659720655e-03 1.299999633833364e-03
1.400000000000000e-03 1.399999576478683e-03 1.399999542666712e-03
1.500000000000000e-03 1.499999477123468e-03 1.499999437500063e-03
1.600000000000000e-03 1.599999359598387e-03 1.599999317333421e-03
1.700000000000000e-03 1.699999221846816e-03 1.699999181166785e-03
1.800000000000000e-03 1.799999061812132e-03 1.799999028000157e-03
1.900000000000000e-03 1.899998877437712e-03 1.899998856833540e-03
2.000000000000000e-03 1.999998666666933e-03 1.999998666666933e-03
2.000000000000000e-03 1.999998666666933e-03 1.999998666666933e-03
2.100000000000000e-03 2.099998543788438e-03 2.099998456500340e-03
2.200000000000000e-03 2.199998388472137e-03 2.199998225333763e-03
2.300000000000000e-03 2.299998196733209e-03 2.299997972167203e-03
2.400000000000000e-03 2.399997964586831e-03 2.399997696000664e-03
2.500000000000000e-03 2.499997688048179e-03 2.499997395834147e-03
2.600000000000000e-03 2.599997363132431e-03 2.599997070667657e-03
2.700000000000000e-03 2.699996985854764e-03 2.699996719501196e-03
2.800000000000000e-03 2.799996552230356e-03 2.799996341334768e-03
2.900000000000000e-03 2.899996058274384e-03 2.899995935168376e-03
3.000000000000000e-03 2.999995500002025e-03 2.999995500002025e-03
3.000000000000000e-03 2.999995500002025e-03 2.999995500002025e-03
3.100000000000000e-03 3.099995306258316e-03 3.099995034835719e-03
3.200000000000000e-03 3.199995037209346e-03 3.199994538669463e-03
3.300000000000000e-03 3.299994685851061e-03 3.299994010503261e-03
3.400000000000000e-03 3.399994245179410e-03 3.399993449337120e-03
3.500000000000000e-03 3.499993708190339e-03 3.499992854171044e-03
3.600000000000000e-03 3.599993067879797e-03 3.599992224005039e-03
3.700000000000000e-03 3.699992317243731e-03 3.699991557839112e-03
3.800000000000000e-03 3.799991449278089e-03 3.799990854673270e-03
3.900000000000000e-03 3.899990456978819e-03 3.899990113507519e-03
4.000000000000000e-03 3.999989333341867e-03 3.999989333341867e-03
4.000000000000000e-03 3.999989333341867e-03 3.999989333341867e-03
4.100000000000000e-03 4.099989120696299e-03 4.099988513176321e-03
4.200000000000000e-03 4.199988758710117e-03 4.199987652010891e-03
4.300000000000000e-03 4.299988236384438e-03 4.299986748845584e-03
4.400000000000000e-03 4.399987542720381e-03 4.399985802680410e-03
4.500000000000001e-03 4.499986666719063e-03 4.499984812515378e-03
4.600000000000000e-03 4.599985597381603e-03 4.599983777350497e-03
4.700000000000000e-03 4.699984323709119e-03 4.699982696185779e-03
4.800000000000000e-03 4.799982834702730e-03 4.799981568021234e-03
4.900000000000000e-03 4.899981119363554e-03 4.899980391856872e-03
5.000000000000000e-03 4.999979166692708e-03 4.999979166692708e-03
5.000000000000000e-03 4.999979166692708e-03 4.999979166692708e-03
5.100000000000000e-03 5.099979031521282e-03 5.099977891528752e-03
5.200000000000000e-03 5.199978632019071e-03 5.199976565365016e-03
5.300000000000000e-03 5.299977952185838e-03 5.299975187201517e-03
5.400000000000000e-03 5.399976976021346e-03 5.399973756038264e-03
5.500000000000000e-03 5.499975687525362e-03 5.499972270875273e-03
5.600000000000000e-03 5.599974070697649e-03 5.599970730712561e-03
5.700000000000000e-03 5.699972109537972e-03 5.699969134550141e-03
5.800000000000000e-03 5.799969788046094e-03 5.799967481388030e-03
5.900000000000000e-03 5.899967090221783e-03 5.899965770226243e-03
6.000000000000000e-03 5.999964000064800e-03 5.999964000064800e-03
6.000000000000000e-03 5.999964000064800e-03 5.999964000064800e-03
6.100000000000000e-03 6.099964083900792e-03 6.099962169903717e-03
6.200000000000000e-03 6.199963737404056e-03 6.199960278743010e-03
6.300000000000000e-03 6.299962938574771e-03 6.299958325582703e-03
6.400000000000000e-03 6.399961665413114e-03 6.399956309422812e-03
6.500000000000001e-03 6.499959895919266e-03 6.499954229263358e-03
6.600000000000000e-03 6.599957608093406e-03 6.599952084104361e-03
6.700000000000000e-03 6.699954779935708e-03 6.699949872945844e-03
6.800000000000000e-03 6.799951389446355e-03 6.799947594787828e-03
6.900000000000000e-03 6.899947414625523e-03 6.899945248630335e-03
7.000000000000000e-03 6.999942833473391e-03 6.999942833473391e-03
7.000000000000000e-03 6.999942833473391e-03 6.999942833473391e-03
7.100000000000000e-03 7.099943322807662e-03 7.099940348317019e-03
7.200000000000000e-03 7.199943154810957e-03 7.199937792161243e-03
7.300000000000000e-03 7.299942300483423e-03 7.299935164006090e-03
7.400000000000000e-03 7.399940730825207e-03 7.399932462851584e-03
7.500000000000000e-03 7.499938416836453e-03 7.499929687697754e-03
7.600000000000000e-03 7.599935329517307e-03 7.599926837544626e-03
7.700000000000000e-03 7.699931439867917e-03 7.699923911392232e-03
7.800000000000001e-03 7.799926718888427e-03 7.799920908240598e-03
7.900000000000001e-03 7.899921137578982e-03 7.899917827089755e-03
8.000000000000000e-03 7.999914666939733e-03 7.999914666939733e-03
8.000000000000000e-03 7.999914666939733e-03 7.999914666939733e-03
8.100000000000000e-03 8.099915793274012e-03 8.099911426790564e-03
8.200000000000001e-03 8.199915964278895e-03 8.199908105642284e-03
8.300000000000000e-03 8.299915142954657e-03 8.299904702494920e-03
8.399999999999999e-03 8.399913292301562e-03 8.399901216348508e-03
8.500000000000001e-03 8.499910375319880e-03 8.499897646203087e-03
8.600000000000000e-03 8.599906355009880e-03 8.599893991058689e-03
8.699999999999999e-03 8.699901194371832e-03 8.699890249915349e-03
8.800000000000001e-03 8.799894856406001e-03 8.799886421773109e-03
8.900000000000000e-03 8.899887304112663e-03 8.899882505632005e-03
9.000000000000001e-03 8.999878500492076e-03 8.999878500492076e-03
9.000000000000001e-03 8.999878500492076e-03 8.999878500492076e-03
9.100000000000000e-03 9.099880540324399e-03 9.099874405353359e-03
9.200000000000002e-03 9.199881245830139e-03 9.199870219215901e-03
9.300000000000001e-03 9.299880571009700e-03 9.299865941079739e-03
9.400000000000000e-03 9.399878469863468e-03 9.399861569944918e-03
9.500000000000001e-03 9.499874896391846e-03 9.499857104811485e-03
9.600000000000001e-03 9.599869804595223e-03 9.599852544679476e-03
9.700000000000000e-03 9.699863148473998e-03 9.699847888548944e-03
9.800000000000001e-03 9.799854882028567e-03 9.799843135419933e-03
9.900000000000001e-03 9.899844959259324e-03 9.899838284292490e-03
1.000000000000000e-02 9.999833334166663e-03 9.999833334166666e-03
1.000000000000000e-02 9.999833334166664e-03 9.999833334166664e-03
1.010000000000000e-02 1.009983660899494e-02 1.009982828404251e-02
1.020000000000000e-02 1.019983807950077e-02 1.019982313292007e-02
1.030000000000000e-02 1.029983768968474e-02 1.029981787979939e-02
1.040000000000000e-02 1.039983538354741e-02 1.039981252368054e-02
1.050000000000000e-02 1.049983110508938e-02 1.049980706356357e-02
1.060000000000000e-02 1.059982479831121e-02 1.059980149844852e-02
1.070000000000000e-02 1.069981640721349e-02 1.069979582733546e-02
1.080000000000000e-02 1.079980587579678e-02 1.079979004922444e-02
1.090000000000000e-02 1.089979314806168e-02 1.089978416311552e-02
1.100000000000000e-02 1.099977816800876e-02 1.099977816800875e-02
1.100000000000000e-02 1.099977816800875e-02 1.099977816800875e-02
1.110000000000000e-02 1.109978304432941e-02 1.109977206290421e-02
1.120000000000000e-02 1.119978554533364e-02 1.119976584680195e-02
1.130000000000000e-02 1.129978560402225e-02 1.129975951870202e-02
1.140000000000000e-02 1.139978315339605e-02 1.139975307760451e-02
1.150000000000000e-02 1.149977812645587e-02 1.149974652250946e-02
1.160000000000000e-02 1.159977045620251e-02 1.159973985241695e-02
