x analitic dft/fft
0.000000000000000e+00 -0.000000000000000e+00 -1.387778780781446e-17
1.000000000000000e-03 -9.994998332499502e-07 -9.994998345363992e-07
2.000000000000000e-03 -3.995997330663463e-06 -3.995997331390777e-06
3.000000000000000e-03 -8.986486479713477e-06 -8.986486481690759e-06
4.000000000000000e-03 -1.596795724779465e-05 -1.596795724764788e-05
5.000000000000000e-03 -2.493739557213280e-05 -2.493739557318797e-05
6.000000000000000e-03 -3.589178334965782e-05 -3.589178335018650e-05
7.000000000000000e-03 -4.882809842683996e-05 -4.882809842866875e-05
8.000000000000000e-03 -6.374331458948917e-05 -6.374331458944282e-05
8.999999999999999e-03 -8.063440155251749e-05 -8.063440155370305e-05
1.000000000000000e-02 -9.949832494966428e-05 -9.949832495033395e-05
1.100000000000000e-02 -1.203320463231839e-04 -1.203320463251528e-04
1.200000000000000e-02 -1.431325231134961e-04 -1.431325231132374e-04
1.300000000000000e-02 -1.678967086487983e-04 -1.678967086497507e-04
1.400000000000000e-02 -1.946215521346406e-04 -1.946215521352046e-04
1.500000000000000e-02 -2.233039986434617e-04 -2.233039986452440e-04
1.600000000000000e-02 -2.539409891040879e-04 -2.539409891040012e-04
1.700000000000000e-02 -2.865294602911920e-04 -2.865294602923674e-04
1.800000000000000e-02 -3.210663448147154e-04 -3.210663448153517e-04
1.900000000000000e-02 -3.575485711092500e-04 -3.575485711111437e-04
2.000000000000000e-02 -3.959730634233812e-04 -3.959730634232328e-04
2.100000000000000e-02 -4.363367418089928e-04 -4.363367418099146e-04
2.200000000000000e-02 -4.786365221105309e-04 -4.786365221109840e-04
2.300000000000000e-02 -5.228693159542307e-04 -5.228693159560066e-04
2.400000000000000e-02 -5.690320307372999e-04 -5.690320307371738e-04
2.500000000000000e-02 -6.171215696170657e-04 -6.171215696181148e-04
2.600000000000000e-02 -6.671348315000797e-04 -6.671348315006737e-04
2.700000000000000e-02 -7.190687110311835e-04 -7.190687110330135e-04
2.800000000000000e-02 -7.729200985825322e-04 -7.729200985822360e-04
2.900000000000000e-02 -8.286858802425791e-04 -8.286858802434155e-04
3.000000000000000e-02 -8.863629378050187e-04 -8.863629378054322e-04
3.100000000000000e-02 -9.459481487576881e-04 -9.459481487593679e-04
3.200000000000000e-02 -1.007438386271428e-03 -1.007438386271611e-03
3.300000000000000e-02 -1.070830519188900e-03 -1.070830519190338e-03
3.400000000000000e-02 -1.136121412013368e-03 -1.136121412014288e-03
3.500000000000000e-02 -1.203307924897430e-03 -1.203307924899533e-03
3.600000000000000e-02 -1.272386913631709e-03 -1.272386913631754e-03
3.700000000000000e-02 -1.343355229633513e-03 -1.343355229634691e-03
3.800000000000000e-02 -1.416209719935436e-03 -1.416209719936154e-03
3.900000000000000e-02 -1.490947227173922e-03 -1.490947227175909e-03
4.000000000000000e-02 -1.567564589577797e-03 -1.567564589577963e-03
4.100000000000000e-02 -1.646058640956739e-03 -1.646058640958126e-03
4.200000000000000e-02 -1.726426210689722e-03 -1.726426210690676e-03
4.300000000000000e-02 -1.808664123713400e-03 -1.808664123715525e-03
4.400000000000000e-02 -1.892769200510469e-03 -1.892769200510402e-03
4.500000000000000e-02 -1.978738257097957e-03 -1.978738257099141e-03
4.600000000000000e-02 -2.066568105015497e-03 -2.066568105016153e-03
4.700000000000000e-02 -2.156255551313534e-03 -2.156255551315545e-03
4.800000000000000e-02 -2.247797398541506e-03 -2.247797398541668e-03
4.900000000000000e-02 -2.341190444735962e-03 -2.341190444737393e-03
5.000000000000000e-02 -2.436431483408651e-03 -2.436431483409524e-03
5.100000000000000e-02 -2.533517303534552e-03 -2.533517303536653e-03
5.200000000000000e-02 -2.632444689539873e-03 -2.632444689539895e-03
5.300000000000000e-02 -2.733210421289988e-03 -2.733210421291182e-03
5.400000000000000e-02 -2.835811274077339e-03 -2.835811274077976e-03
5.500000000000000e-02 -2.940244018609294e-03 -2.940244018611260e-03
5.600000000000000e-02 -3.046505420995945e-03 -3.046505420996021e-03
5.700000000000000e-02 -3.154592242737875e-03 -3.154592242739188e-03
5.800000000000000e-02 -3.264501240713868e-03 -3.264501240714743e-03
5.900000000000000e-02 -3.376229167168575e-03 -3.376229167170605e-03
6.000000000000000e-02 -3.489772769700133e-03 -3.489772769700056e-03
6.100000000000000e-02 -3.605128791247737e-03 -3.605128791248802e-03
6.200000000000000e-02 -3.722293970079160e-03 -3.722293970079824e-03
6.300000000000000e-02 -3.841265039778232e-03 -3.841265039780092e-03
6.400000000000000e-02 -3.962038729232263e-03 -3.962038729232606e-03
6.500000000000000e-02 -4.084611762619428e-03 -4.084611762620996e-03
6.600000000000000e-02 -4.208980859396082e-03 -4.208980859397138e-03
6.700000000000000e-02 -4.335142734284060e-03 -4.335142734286340e-03
6.800000000000000e-02 -4.463094097257892e-03 -4.463094097258133e-03
6.900000000000001e-02 -4.592831653531992e-03 -4.592831653533344e-03
7.000000000000001e-02 -4.724352103547788e-03 -4.724352103548671e-03
7.099999999999999e-02 -4.857652142960803e-03 -4.857652142962909e-03
7.199999999999999e-02 -4.992728462627691e-03 -4.992728462627993e-03
7.300000000000000e-02 -5.129577748593211e-03 -5.129577748594766e-03
7.400000000000000e-02 -5.268196682077163e-03 -5.268196682078216e-03
7.500000000000000e-02 -5.408581939461261e-03 -5.408581939463530e-03
7.600000000000000e-02 -5.550730192275964e-03 -5.550730192276088e-03
7.700000000000000e-02 -5.694638107187257e-03 -5.694638107188524e-03
7.800000000000000e-02 -5.840302345983367e-03 -5.840302345984219e-03
7.900000000000000e-02 -5.987719565561440e-03 -5.987719565563543e-03
8.000000000000000e-02 -6.136886417914158e-03 -6.136886417914419e-03
8.100000000000000e-02 -6.287799550116312e-03 -6.287799550117809e-03
8.200000000000000e-02 -6.440455604311310e-03 -6.440455604312306e-03
8.300000000000000e-02 -6.594851217697639e-03 -6.594851217699815e-03
8.400000000000001e-02 -6.750983022515276e-03 -6.750983022515519e-03
8.500000000000001e-02 -6.908847646032040e-03 -6.908847646033292e-03
8.599999999999999e-02 -7.068441710529893e-03 -7.068441710530726e-03
8.699999999999999e-02 -7.229761833291187e-03 -7.229761833293241e-03
8.799999999999999e-02 -7.392804626584850e-03 -7.392804626585148e-03
8.900000000000000e-02 -7.557566697652529e-03 -7.557566697653964e-03
9.000000000000000e-02 -7.724044648694664e-03 -7.724044648695666e-03
9.100000000000000e-02 -7.892235076856522e-03 -7.892235076858684e-03
9.200000000000000e-02 -8.062134574214164e-03 -8.062134574214300e-03
9.300000000000000e-02 -8.233739727760354e-03 -8.233739727761508e-03
9.400000000000000e-02 -8.407047119390429e-03 -8.407047119391192e-03
9.500000000000000e-02 -8.582053325888087e-03 -8.582053325890099e-03
9.600000000000000e-02 -8.758754918911137e-03 -8.758754918911718e-03
9.700000000000000e-02 -8.937148464977198e-03 -8.937148464978978e-03
9.800000000000000e-02 -9.117230525449306e-03 -9.117230525450604e-03
9.900000000000000e-02 -9.298997656521511e-03 -9.298997656523977e-03
1.000000000000000e-01 -9.482446409204369e-03 -9.482446409204814e-03
1.010000000000000e-01 -9.667573329310414e-03 -9.667573329311951e-03
1.020000000000000e-01 -9.854374957439549e-03 -9.854374957440640e-03
1.030000000000000e-01 -1.004284782896439e-02 -1.004284782896672e-02
1.040000000000000e-01 -1.023298847401554e-02 -1.023298847401609e-02
1.050000000000000e-01 -1.042479341746680e-02 -1.042479341746848e-02
1.060000000000000e-01 -1.061825917892034e-02 -1.061825917892172e-02
1.070000000000000e-01 -1.081338227269182e-02 -1.081338227269427e-02
1.080000000000000e-01 -1.101015920779537e-02 -1.101015920779581e-02
1.090000000000000e-01 -1.120858648792864e-02 -1.120858648793008e-02
1.100000000000000e-01 -1.140866061145765e-02 -1.140866061145872e-02
1.110000000000000e-01 -1.161037807140171e-02 -1.161037807140396e-02
1.120000000000000e-01 -1.181373535541816e-02 -1.181373535541870e-02
1.130000000000000e-01 -1.201872894578712e-02 -1.201872894578883e-02
1.140000000000000e-01 -1.222535531939618e-02 -1.222535531939739e-02
1.150000000000000e-01 -1.243361094772497e-02 -1.243361094772730e-02
1.160000000000000e-01 -1.264349229682976e-02 -1.264349229683018e-02
1.170000000000000e-01 -1.285499582732785e-02 -1.285499582732934e-02
1.180000000000000e-01 -1.306811799438208e-02 -1.306811799438314e-02
1.190000000000000e-01 -1.328285524768514e-02 -1.328285524768739e-02
1.200000000000000e-01 -1.349920403144384e-02 -1.349920403144433e-02
1.210000000000000e-01 -1.371716078436338e-02 -1.371716078436502e-02
1.220000000000000e-01 -1.393672193963144e-02 -1.393672193963272e-02
1.230000000000000e-01 -1.415788392490235e-02 -1.415788392490477e-02
1.240000000000000e-01 -1.438064316228107e-02 -1.438064316228149e-02
1.250000000000000e-01 -1.460499606830716e-02 -1.460499606830858e-02
1.260000000000000e-01 -1.483093905393867e-02 -1.483093905393970e-02
1.270000000000000e-01 -1.505846852453598e-02 -1.505846852453818e-02
1.280000000000000e-01 -1.528758087984554e-02 -1.528758087984655e-02
1.290000000000000e-01 -1.551827251398358e-02 -1.551827251398570e-02
1.300000000000000e-01 -1.575053981541972e-02 -1.575053981542135e-02
1.310000000000000e-01 -1.598437916696054e-02 -1.598437916696327e-02
1.320000000000000e-01 -1.621978694573305e-02 -1.621978694573387e-02
1.330000000000000e-01 -1.645675952316815e-02 -1.645675952317004e-02
1.340000000000000e-01 -1.669529326498389e-02 -1.669529326498537e-02
1.350000000000000e-01 -1.693538453116885e-02 -1.693538453117141e-02
1.360000000000000e-01 -1.717702967596528e-02 -1.717702967596621e-02
1.370000000000000e-01 -1.742022504785228e-02 -1.742022504785430e-02
1.380000000000000e-01 -1.766496698952882e-02 -1.766496698953049e-02
1.390000000000000e-01 -1.791125183789679e-02 -1.791125183789953e-02
1.400000000000000e-01 -1.815907592404387e-02 -1.815907592404462e-02
1.410000000000000e-01 -1.840843557322643e-02 -1.840843557322822e-02
1.420000000000000e-01 -1.865932710485227e-02 -1.865932710485374e-02
1.430000000000000e-01 -1.891174683246337e-02 -1.891174683246591e-02
1.440000000000000e-01 -1.916569106371844e-02 -1.916569106371940e-02
