x analitic dft/fft
0.000000000000000e+00 -0.000000000000000e+00 0.000000000000000e+00
1.000000000000000e-02 -9.949832494966428e-05 -9.949832494965394e-05
2.000000000000000e-02 -3.959730634233812e-04 -3.959730634233161e-04
3.000000000000000e-02 -8.863629378050187e-04 -8.863629378049326e-04
4.000000000000000e-02 -1.567564589577797e-03 -1.567564589577825e-03
5.000000000000000e-02 -2.436431483408651e-03 -2.436431483408705e-03
6.000000000000000e-02 -3.489772769700133e-03 -3.489772769700097e-03
7.000000000000001e-02 -4.724352103547788e-03 -4.724352103547713e-03
8.000000000000000e-02 -6.136886417914158e-03 -6.136886417914128e-03
9.000000000000000e-02 -7.724044648694664e-03 -7.724044648694639e-03
1.000000000000000e-01 -9.482446409204369e-03 -9.482446409204287e-03
1.100000000000000e-01 -1.140866061145765e-02 -1.140866061145754e-02
1.200000000000000e-01 -1.349920403144384e-02 -1.349920403144390e-02
1.300000000000000e-01 -1.575053981541972e-02 -1.575053981541975e-02
1.400000000000000e-01 -1.815907592404387e-02 -1.815907592404381e-02
1.500000000000000e-01 -2.072116351096630e-02 -2.072116351096623e-02
1.600000000000000e-01 -2.343309523225813e-02 -2.343309523225810e-02
1.700000000000000e-01 -2.629110348281973e-02 -2.629110348281967e-02
1.800000000000000e-01 -2.929135855563852e-02 -2.929135855563844e-02
1.900000000000000e-01 -3.242996671947894e-02 -3.242996671947884e-02
2.000000000000000e-01 -3.570296821027357e-02 -3.570296821027356e-02
2.100000000000000e-01 -3.910633513114549e-02 -3.910633513114549e-02
2.200000000000000e-01 -4.263596925562254e-02 -4.263596925562252e-02
2.300000000000000e-01 -4.628769972820358e-02 -4.628769972820350e-02
2.400000000000000e-01 -5.005728065600108e-02 -5.005728065600105e-02
2.500000000000000e-01 -5.394038858470892e-02 -5.394038858470887e-02
2.600000000000000e-01 -5.793261985162652e-02 -5.793261985162647e-02
2.700000000000000e-01 -6.202948780790492e-02 -6.202948780790486e-02
2.800000000000000e-01 -6.622641990156247e-02 -6.622641990156246e-02
2.900000000000000e-01 -7.051875461214115e-02 -7.051875461214112e-02
3.000000000000000e-01 -7.490173822713379e-02 -7.490173822713375e-02
3.100000000000000e-01 -7.937052144949895e-02 -7.937052144949887e-02
3.200000000000000e-01 -8.392015582468786e-02 -8.392015582468786e-02
3.300000000000000e-01 -8.854558997462442e-02 -8.854558997462440e-02
3.400000000000000e-01 -9.324166562499780e-02 -9.324166562499782e-02
3.500000000000000e-01 -9.800311341103332e-02 -9.800311341103332e-02
3.600000000000000e-01 -1.028245484455878e-01 -1.028245484455879e-01
3.700000000000000e-01 -1.077004656319578e-01 -1.077004656319578e-01
3.800000000000000e-01 -1.126252347021708e-01 -1.126252347021708e-01
3.900000000000000e-01 -1.175930949597362e-01 -1.175930949597362e-01
4.000000000000000e-01 -1.225981497038378e-01 -1.225981497038378e-01
4.100000000000000e-01 -1.276343603097258e-01 -1.276343603097258e-01
4.200000000000000e-01 -1.326955399375913e-01 -1.326955399375914e-01
4.300000000000000e-01 -1.377753468394330e-01 -1.377753468394330e-01
4.400000000000000e-01 -1.428672772303250e-01 -1.428672772303250e-01
4.500000000000000e-01 -1.479646576870161e-01 -1.479646576870161e-01
4.600000000000000e-01 -1.530606370328762e-01 -1.530606370328763e-01
4.700000000000000e-01 -1.581481776638000e-01 -1.581481776638001e-01
4.800000000000000e-01 -1.632200462647033e-01 -1.632200462647034e-01
4.900000000000000e-01 -1.682688038606150e-01 -1.682688038606151e-01
5.000000000000000e-01 -1.732867951399863e-01 -1.732867951399865e-01
5.100000000000000e-01 -1.782661369805784e-01 -1.782661369805786e-01
5.200000000000000e-01 -1.831987061000180e-01 -1.831987061000180e-01
5.300000000000000e-01 -1.880761257436580e-01 -1.880761257436580e-01
5.400000000000000e-01 -1.928897513115507e-01 -1.928897513115508e-01
5.500000000000000e-01 -1.976306548138985e-01 -1.976306548138986e-01
5.600000000000001e-01 -2.022896080300062e-01 -2.022896080300063e-01
5.700000000000000e-01 -2.068570642291890e-01 -2.068570642291891e-01
5.800000000000000e-01 -2.113231382928705e-01 -2.113231382928707e-01
5.900000000000000e-01 -2.156775850547472e-01 -2.156775850547475e-01
6.000000000000000e-01 -2.199097756497972e-01 -2.199097756497972e-01
6.100000000000000e-01 -2.240086716323240e-01 -2.240086716323241e-01
6.200000000000000e-01 -2.279627965872578e-01 -2.279627965872581e-01
6.300000000000000e-01 -2.317602049164554e-01 -2.317602049164556e-01
6.400000000000000e-01 -2.353884474313685e-01 -2.353884474313686e-01
6.500000000000000e-01 -2.388345333234492e-01 -2.388345333234492e-01
6.600000000000000e-01 -2.420848880118611e-01 -2.420848880118612e-01
6.700000000000000e-01 -2.451253062817283e-01 -2.451253062817284e-01
6.800000000000000e-01 -2.479409000217882e-01 -2.479409000217882e-01
